,cash,portval,price,shares,state
2007-01-05,1177.0,10000.0,88.23,100.0,18
2007-01-08,10134.0,10134.0,89.57,0.0,473
2007-01-09,19197.0,10134.0,90.63,-100.0,472
2007-01-10,10241.0,10241.0,89.56,0.0,217
2007-01-11,10241.0,10241.0,89.34,0.0,89
2007-01-12,10241.0,10241.0,89.96,0.0,345
2007-01-16,19371.0,10241.0,91.3,-100.0,472
2007-01-17,10313.0,10313.0,90.58,0.0,89
2007-01-18,10313.0,10313.0,90.06,0.0,89
2007-01-19,10313.0,10313.0,87.09,0.0,153
2007-01-22,1519.0,10313.0,87.94,100.0,266
2007-01-23,1519.0,10311.0,87.92,100.0,2
2007-01-24,1519.0,10340.0,88.21,100.0,258
2007-01-25,1519.0,10350.0,88.31,100.0,258
2007-01-26,1519.0,10344.0,88.25,100.0,2
2007-01-29,1519.0,10443.0,89.24,100.0,450
2007-01-30,1519.0,10518.0,89.99,100.0,322
2007-01-31,19477.0,10498.0,89.79,-100.0,64
2007-02-01,10511.0,10511.0,89.66,0.0,81
2007-02-02,10511.0,10511.0,89.81,0.0,345
2007-02-05,19602.0,10511.0,90.91,-100.0,472
2007-02-06,10559.0,10559.0,90.43,0.0,89
2007-02-07,10559.0,10559.0,90.42,0.0,89
2007-02-08,10559.0,10559.0,90.49,0.0,345
2007-02-09,10559.0,10559.0,89.52,0.0,217
2007-02-12,10559.0,10559.0,89.54,0.0,345
2007-02-13,1631.0,10559.0,89.28,100.0,26
2007-02-14,10642.0,10642.0,90.11,0.0,345
2007-02-15,10642.0,10642.0,89.85,0.0,89
2007-02-16,10642.0,10642.0,89.92,0.0,345
2007-02-20,10642.0,10642.0,90.24,0.0,345
2007-02-21,10642.0,10642.0,90.01,0.0,89
2007-02-22,1695.0,10642.0,89.47,100.0,26
2007-02-23,10572.0,10572.0,88.77,0.0,25
2007-02-26,19375.0,10572.0,88.03,-100.0,40
2007-02-27,10840.0,10840.0,85.35,0.0,161
2007-02-28,19282.0,10840.0,84.42,-100.0,160
2007-03-01,19282.0,10901.0,83.81,-100.0,32
2007-03-02,11025.0,11025.0,82.57,0.0,161
2007-03-05,2685.0,11025.0,83.4,100.0,390
2007-03-06,19725.0,11205.0,85.2,-100.0,388
2007-03-07,11192.0,11192.0,85.33,0.0,261
2007-03-08,2744.0,11192.0,84.48,100.0,6
2007-03-09,2744.0,11217.0,84.73,100.0,262
2007-03-12,2744.0,11292.0,85.48,100.0,262
2007-03-13,2744.0,11165.0,84.21,100.0,134
2007-03-14,19778.0,11261.0,85.17,-100.0,388
2007-03-15,11290.0,11290.0,84.88,0.0,1
2007-03-16,2820.0,11290.0,84.7,100.0,2
2007-03-19,2820.0,11358.0,85.38,100.0,258
2007-03-20,2820.0,11404.0,85.84,100.0,322
2007-03-21,2820.0,11482.0,86.62,100.0,322
2007-03-22,20114.0,11467.0,86.47,-100.0,64
2007-03-23,20114.0,11482.0,86.32,-100.0,64
2007-03-26,20114.0,11485.0,86.29,-100.0,64
2007-03-27,20114.0,11509.0,86.05,-100.0,64
2007-03-28,20114.0,11552.0,85.62,-100.0,64
2007-03-29,11524.0,11524.0,85.9,0.0,321
2007-03-30,20086.0,11524.0,85.62,-100.0,64
2007-04-02,11438.0,11438.0,86.48,0.0,449
2007-04-03,11438.0,11438.0,87.29,0.0,353
2007-04-04,2699.0,11438.0,87.39,100.0,322
2007-04-05,2699.0,11466.0,87.67,100.0,322
2007-04-09,2699.0,11475.0,87.76,100.0,322
2007-04-10,20223.0,11461.0,87.62,-100.0,64
2007-04-11,2935.0,11579.0,86.44,100.0,194
2007-04-12,2935.0,11625.0,86.9,100.0,322
2007-04-13,2935.0,11558.0,86.23,100.0,2
2007-04-16,2935.0,11671.0,87.36,100.0,466
2007-04-17,11757.0,11757.0,88.22,0.0,345
2007-04-18,11757.0,11757.0,86.11,0.0,153
2007-04-19,3192.0,11757.0,85.65,100.0,10
2007-04-20,3192.0,11783.0,85.91,100.0,258
2007-04-23,3192.0,11840.0,86.48,100.0,258
2007-04-24,3192.0,12138.0,89.46,100.0,498
2007-04-25,3192.0,12408.0,92.16,100.0,506
2007-04-26,3192.0,12357.0,91.65,100.0,122
2007-04-27,3192.0,12382.0,91.9,100.0,378
2007-04-30,3192.0,12476.0,92.84,100.0,506
2007-05-01,3192.0,12563.0,93.71,100.0,378
2007-05-02,12477.0,12477.0,92.85,0.0,93
2007-05-03,3139.0,12477.0,93.38,100.0,350
2007-05-04,3139.0,12491.0,93.52,100.0,350
2007-05-07,3139.0,12510.0,93.71,100.0,350
2007-05-08,3139.0,12558.0,94.19,100.0,350
2007-05-09,3139.0,12657.0,95.18,100.0,478
2007-05-10,3139.0,12685.0,95.46,100.0,350
2007-05-11,3139.0,12803.0,96.64,100.0,478
2007-05-14,12766.0,12766.0,96.27,0.0,93
2007-05-15,12766.0,12766.0,95.59,0.0,93
2007-05-16,3112.0,12766.0,96.54,100.0,350
2007-05-17,12715.0,12715.0,96.03,0.0,93
2007-05-18,22562.0,12715.0,98.47,-100.0,472
2007-05-21,12801.0,12801.0,97.61,0.0,89
2007-05-22,12801.0,12801.0,97.3,0.0,89
2007-05-23,12801.0,12801.0,96.28,0.0,217
2007-05-24,12801.0,12801.0,94.79,0.0,153
2007-05-25,22392.0,12801.0,95.91,-100.0,472
2007-05-29,12734.0,12734.0,96.58,0.0,345
2007-05-30,12734.0,12734.0,97.51,0.0,345
2007-05-31,12734.0,12734.0,97.21,0.0,89
2007-06-01,12734.0,12734.0,97.15,0.0,89
2007-06-04,12734.0,12734.0,96.87,0.0,89
2007-06-05,12734.0,12734.0,96.51,0.0,89
2007-06-06,22073.0,12734.0,93.39,-100.0,184
2007-06-07,22073.0,12790.0,92.83,-100.0,56
2007-06-08,22073.0,12674.0,93.99,-100.0,408
2007-06-11,12661.0,12661.0,94.12,0.0,281
2007-06-12,3329.0,12661.0,93.32,100.0,26
2007-06-13,3329.0,12732.0,94.03,100.0,282
2007-06-14,3329.0,12799.0,94.7,100.0,282
2007-06-15,12912.0,12912.0,95.83,0.0,473
2007-06-18,12912.0,12912.0,96.05,0.0,345
2007-06-19,22624.0,12912.0,97.12,-100.0,472
2007-06-20,12958.0,12958.0,96.66,0.0,89
2007-06-21,12958.0,12958.0,97.21,0.0,345
2007-06-22,12958.0,12958.0,95.24,0.0,153
2007-06-25,12958.0,12958.0,95.84,0.0,345
2007-06-26,12958.0,12958.0,96.05,0.0,345
2007-06-27,12958.0,12958.0,96.14,0.0,345
2007-06-28,12958.0,12958.0,96.61,0.0,345
2007-06-29,12958.0,12958.0,95.98,0.0,89
2007-07-02,12958.0,12958.0,95.76,0.0,89
2007-07-03,22677.0,12958.0,97.19,-100.0,472
2007-07-05,12824.0,12824.0,98.53,0.0,473
2007-07-06,12824.0,12824.0,99.42,0.0,377
2007-07-09,12824.0,12824.0,99.37,0.0,89
2007-07-10,12824.0,12824.0,99.06,0.0,89
2007-07-11,12824.0,12824.0,99.49,0.0,345
2007-07-12,12824.0,12824.0,99.65,0.0,345
2007-07-13,12824.0,12824.0,99.03,0.0,89
2007-07-16,12824.0,12824.0,100.0,0.0,345
2007-07-17,22925.0,12824.0,101.01,-100.0,472
2007-07-18,12796.0,12796.0,101.29,0.0,345
2007-07-19,12796.0,12796.0,105.65,0.0,505
2007-07-20,12796.0,12796.0,104.69,0.0,121
2007-07-23,12796.0,12796.0,106.12,0.0,509
2007-07-24,12796.0,12796.0,105.93,0.0,93
2007-07-25,12796.0,12796.0,107.69,0.0,477
2007-07-26,23422.0,12796.0,106.26,-100.0,220
2007-07-27,23422.0,12879.0,105.43,-100.0,92
2007-07-30,23422.0,12979.0,104.43,-100.0,92
2007-07-31,3242.0,13332.0,100.9,100.0,158
2007-08-01,3242.0,13459.0,102.17,100.0,414
2007-08-02,13567.0,13567.0,103.25,0.0,473
2007-08-03,13567.0,13567.0,102.03,0.0,153
2007-08-06,23952.0,13567.0,103.85,-100.0,472
