,cash,portval,price,shares,state
2009-01-06,18338.0,10000.0,83.38,-100.0,464
2009-01-07,10135.0,10135.0,82.03,0.0,153
2009-01-08,1989.0,10135.0,81.46,100.0,26
2009-01-09,1989.0,9904.0,79.15,100.0,138
2009-01-12,1989.0,9998.0,80.09,100.0,386
2009-01-13,1989.0,9963.0,79.74,100.0,2
2009-01-14,1989.0,9763.0,77.74,100.0,130
2009-01-15,1989.0,9849.0,78.6,100.0,386
2009-01-16,1989.0,9924.0,79.35,100.0,258
2009-01-20,1989.0,9649.0,76.6,100.0,130
2009-01-21,1989.0,10532.0,85.43,100.0,482
2009-01-22,1989.0,10405.0,84.16,100.0,214
2009-01-23,10351.0,10351.0,83.62,0.0,93
2009-01-26,10351.0,10351.0,85.59,0.0,477
2009-01-27,1786.0,10351.0,85.65,100.0,350
2009-01-28,10646.0,10646.0,88.6,0.0,509
2009-01-29,19290.0,10646.0,86.44,-100.0,220
2009-01-30,19290.0,10726.0,85.64,-100.0,92
2009-02-02,19290.0,10793.0,84.97,-100.0,92
2009-02-03,10555.0,10555.0,87.35,0.0,477
2009-02-04,10555.0,10555.0,86.74,0.0,93
2009-02-05,10555.0,10555.0,86.35,0.0,93
2009-02-06,10555.0,10555.0,90.33,0.0,477
2009-02-09,1459.0,10555.0,90.96,100.0,350
2009-02-10,1459.0,10222.0,87.63,100.0,222
2009-02-11,1459.0,10399.0,89.4,100.0,478
2009-02-12,10391.0,10391.0,89.32,0.0,93
2009-02-13,19207.0,10391.0,88.16,-100.0,220
2009-02-17,2169.0,10688.0,85.19,100.0,158
2009-02-18,2169.0,10767.0,85.98,100.0,282
2009-02-19,18879.0,10524.0,83.55,-100.0,152
2009-02-20,10537.0,10537.0,83.42,0.0,25
2009-02-23,2610.0,10537.0,79.27,100.0,190
2009-02-24,2610.0,10727.0,81.17,100.0,398
2009-02-25,18750.0,10680.0,80.7,-100.0,4
2009-02-26,18750.0,10391.0,83.59,-100.0,388
2009-02-27,10104.0,10104.0,86.46,0.0,453
2009-03-02,1738.0,10104.0,83.66,100.0,134
2009-03-03,1738.0,9984.0,82.46,100.0,134
2009-03-04,18554.0,10146.0,84.08,-100.0,388
2009-03-05,10335.0,10335.0,82.19,0.0,133
2009-03-06,2273.0,10335.0,80.62,100.0,134
2009-03-09,2273.0,10116.0,78.43,100.0,134
2009-03-10,18667.0,10470.0,81.97,-100.0,388
2009-03-11,18667.0,10341.0,83.26,-100.0,388
2009-03-12,10174.0,10174.0,84.93,0.0,453
2009-03-13,18663.0,10174.0,84.89,-100.0,64
2009-03-16,10093.0,10093.0,85.7,0.0,321
2009-03-17,10093.0,10093.0,87.29,0.0,449
2009-03-18,1454.0,10093.0,86.39,100.0,210
2009-03-19,1454.0,10160.0,87.06,100.0,350
2009-03-20,10145.0,10145.0,86.91,0.0,93
2009-03-23,10145.0,10145.0,92.74,0.0,509
2009-03-24,10145.0,10145.0,92.35,0.0,125
2009-03-25,10145.0,10145.0,92.03,0.0,93
2009-03-26,864.0,10145.0,92.81,100.0,350
2009-03-27,864.0,9710.0,88.46,100.0,222
2009-03-30,864.0,9744.0,88.8,100.0,350
2009-03-31,864.0,9967.0,91.03,100.0,478
2009-04-01,864.0,10035.0,91.71,100.0,350
2009-04-02,864.0,10336.0,94.72,100.0,478
2009-04-03,864.0,10468.0,96.04,100.0,478
2009-04-06,10406.0,10406.0,95.42,0.0,93
2009-04-07,19684.0,10406.0,92.78,-100.0,220
2009-04-08,10177.0,10177.0,95.07,0.0,477
2009-04-09,10177.0,10177.0,95.55,0.0,349
2009-04-13,19567.0,10177.0,93.9,-100.0,220
2009-04-14,19567.0,10240.0,93.27,-100.0,92
2009-04-15,19567.0,10280.0,92.87,-100.0,92
2009-04-16,10037.0,10037.0,95.3,0.0,477
2009-04-17,10037.0,10037.0,95.14,0.0,89
2009-04-20,10037.0,10037.0,94.36,0.0,89
2009-04-21,19649.0,10037.0,96.12,-100.0,472
2009-04-22,10014.0,10014.0,96.35,0.0,345
2009-04-23,10014.0,10014.0,95.29,0.0,217
2009-04-24,10014.0,10014.0,94.03,0.0,217
2009-04-27,624.0,10014.0,93.9,100.0,26
2009-04-28,10201.0,10201.0,95.77,0.0,473
2009-04-29,10201.0,10201.0,97.75,0.0,505
2009-04-30,10201.0,10201.0,96.97,0.0,89
2009-05-01,10201.0,10201.0,98.28,0.0,505
2009-05-04,10201.0,10201.0,99.77,0.0,505
2009-05-05,10201.0,10201.0,99.45,0.0,89
